D0,D1,D2,D3,D4,D5,D6,D7
1.7978365,2.8412309,0.7001136,0.48039404,-1.0199988,-0.3857892,1.3303274,0.40159306
-0.28949636,-1.8325909,-0.69539946,1.088695,-0.094242245,-1.9039862,-1.8490577,0.19076794
1.3206627,0.525845,0.11570355,0.30644563,-1.9077207,0.7283493,1.8228956,-0.4237482
0.6007109,0.37527114,-0.5684006,-1.43122,-1.2624518,-0.99887955,-1.4136426,1.0934293
-0.8226222,0.30340993,-1.2057574,-0.6513449,0.48569858,-0.96761227,0.16345581,0.4176967
-0.33998972,-0.9153912,-0.3285151,-0.5875985,1.4798282,-0.23289648,1.1903335,1.6386681
0.2928229,-0.24389653,-2.7612147,0.21705636,-0.6680655,1.2856293,-0.11354885,-0.50599694
0.7173743,-0.0293414,-0.5360033,-0.83523715,0.015019441,-2.130662,0.13559622,2.1151483
0.6338393,0.011316717,0.49714214,-0.7680317,1.2273202,-0.5585852,-0.8835931,-0.27367818
0.08389683,-0.51708055,-1.0340166,-0.4885046,-1.7255183,-1.4836305,0.34319693,-1.4595926
-2.0674338,0.010472864,-0.4641713,-0.5152185,1.044931,0.85794115,1.3320184,-2.923195
2.5507073,1.3360972,0.99101496,0.42305318,-1.046523,-1.2792398,1.2580396,0.5537852
-1.0157411,-1.9526477,-1.0787752,-0.009799123,-0.65041745,-0.061332874,-1.2782445,0.6575524
-0.20975362,0.4294337,0.44832796,0.3420196,0.74292743,-1.6354487,0.37384233,0.9905158
-0.587508,0.19657664,-0.0016765445,0.9697449,1.1676337,-0.51986,2.4501677,0.849609
0.10571675,0.6256568,1.0998027,-1.5073276,-1.0106726,0.26971444,-1.9661323,0.83092505
1.2840576,-0.65329367,-1.3648651,-1.0703365,1.121671,1.4428601,-1.69948,0.64896953
1.2747195,1.4338257,-0.056826115,0.4813604,1.2447604,-0.3877003,-1.3881865,0.06583339
-1.2363424,1.1194673,1.8546078,1.8904595,-1.949436,-0.16331111,0.04285853,0.33025604
-1.491967,0.4698962,-1.6119576,1.8705215,1.9445841,-0.1210268,0.54373646,0.10046367
-0.9805238,1.065822,1.6093044,-1.2966847,-0.08832153,0.54413295,1.4476333,-2.1845446
0.12521714,1.2864046,-1.2713213,-0.062352,0.95472044,0.23897247,1.0775163,1.5536783
-0.33263892,-0.12545818,0.08906263,0.880476,1.0755725,0.17135979,2.494066,0.4675458
-2.3235016,0.24840747,1.7828033,2.2272599,-0.8361225,-0.3636513,-0.09434902,-0.78373706
0.8285471,-0.2984954,0.00034196675,-0.82899714,1.1874423,-0.78513354,1.4023541,1.0719068
1.921185,0.22405289,0.5863316,0.03608021,-0.0912817,-0.80651957,0.77812445,1.4445179
0.47721237,-0.2310028,1.1926403,0.07953647,-0.49722505,1.4278241,-0.7530114,0.29107714
-0.0044015795,0.7579214,0.3745215,0.62064934,-2.6893258,1.9420025,-1.4197786,1.3069179
0.3175406,0.22716768,-1.8847923,-1.4516811,-0.02047057,0.21014817,-0.113206364,-0.27411154
-0.42171344,0.029733717,1.1365125,-0.1471758,1.6235996,0.82330525,2.0109196,0.41721722
-0.18600085,1.105039,1.987037,0.49762627,1.8006325,-0.36225063,-0.35761383,1.0452201
1.7730198,1.2101254,-0.4891888,0.58257556,-1.2417225,-0.6963177,2.355863,-0.7677698
-1.1384432,-0.2666205,-0.41587883,0.8269503,1.705892,0.19748269,1.2254139,1.0474119
0.99783534,0.42254603,0.98985755,0.28923187,-1.1526449,0.8285097,-0.64494634,0.38250938
-1.4769001,0.7704969,-0.573734,0.5813315,0.4028261,1.3624523,1.1903744,-1.6274481
0.10729219,-0.7522784,-0.26700577,-0.13986346,-0.6954063,-0.8214949,1.7224255,-0.55543
-0.23560947,1.3944776,0.5242066,0.4899126,1.3681052,0.2481751,-0.9216705,-0.7954235
-0.6065146,-1.1402076,-0.47799712,-0.78441775,-0.3115567,-2.5952668,0.5166276,-1.8298721
1.1855698,0.5339995,0.5697419,-2.2946987,-1.617746,0.6278993,-0.98404694,-0.7003025
1.2311938,0.07594021,0.3358665,2.4793994,-1.0257143,-0.82376456,0.080256365,-0.43130505
-2.0160918,-2.8238482,-0.12090172,0.60451317,-0.20415077,-1.7158864,-0.8067994,-0.1134094
1.4068813,0.33967638,-1.4175043,0.65750515,1.4629841,0.07952408,-0.31902507,0.276069
-1.7910743,-2.440057,0.1181854,0.60950303,-0.45477194,-0.7429625,-1.5354091,0.5576505
0.4199795,-0.6486818,-1.3711865,1.0517137,-0.39600962,1.0018175,-0.06290705,-0.91278905
-0.5373499,-0.17765437,-1.8155644,-1.4132714,-2.384573,0.569842,1.3969942,-1.7510006
-1.9288011,-2.154071,-0.9626437,0.6112484,0.07522975,-0.70385784,-1.5910469,0.32640404
-0.93980235,0.62432265,-0.95364124,1.5496489,1.9458342,1.170929,0.9991918,-0.2210334
